site	PSI-MS_name	name	composition	priority
D	null	Cation:Ca[II]	H(-2) Ca	0
D	null	Cation:Mg[II]	H(-2) Mg	0
D	MolybdopterinGD	MolybdopterinGD	H(47) C(40) N(20) O(26) P(4) S(4) Mo	0
D	CHDH	CHDH	H(26) C(17) O(4)	0
D	null	iodoTMT6plex	H(28) C(12) 13C(4) N(3) 15N O(3)	0
D	Ethyl	Ethyl	H(4) C(2)	0
D	null	Hydroxamic_acid	H N	0
D	null	Cation:Ag	H(-1) Ag	0
D	null	iodoTMT	H(28) C(16) N(4) O(3)	0
D	SulfanilicAcid:13C(6)	SulfanilicAcid:13C(6)	H(5) 13C(6) N O(2) S	0
D	null	Cation:Li	H(-1) Li	0
D	ADP-Ribosyl	ADP-Ribosyl	H(13) C(10) N(5) O(9) P(2) Pent	0
E	Ethyl	Ethyl	H(4) C(2)	0
E	Carbamidomethyl	Carbamidomethyl	H(3) C(2) N O	0
E	GlycerylPE	GlycerylPE	H(12) C(5) N O(5) P	0
E	Glu->pyro-Glu	Glu->pyro-Glu	H(-2) O(-1)	0
E	null	Cation:Zn[II]	H(-2) Zn	0
E	null	UgiJoullie	H(60) C(47) N(23) O(10)	0
E	null	Glu->pyro-Glu+Methyl:2H(2)13C(1)	H(-2) 2H(2) 13C O(-1)	0
E	ADP-Ribosyl	ADP-Ribosyl	H(13) C(10) N(5) O(9) P(2) Pent	0
E	Cation:Cu[I]	Cation:Cu[I]	H(-1) Cu	0
E	null	UgiJoullieProGly	H(10) C(7) N(2) O(2)	0
E	Cation:Na	Cation:Na	H(-1) Na	0
E	Glu	Glu	H(7) C(5) N O(3)	0
E	null	Cation:Ca[II]	H(-2) Ca	0
E	GluGluGlu	GluGluGlu	H(21) C(15) N(3) O(9)	0
E	Carboxy	Carboxy	C O(2)	0
E	null	Cation:Ni[II]	H(-2) Ni	0
E	null	Dap-DSP	H(16) C(13) N(2) O(4) S(2)	0
E	null	Cation:Fe[II]	H(-2) Fe	0
E	SulfanilicAcid:13C(6)	SulfanilicAcid:13C(6)	H(5) 13C(6) N O(2) S	0
E	null	Propyl	H(6) C(3)	0
E	null	UgiJoullieProGlyProGly	H(20) C(14) N(4) O(4)	0
E	Methyl	Methyl	H(2) C	0
E	null	Ammonium	H(3) N	0
E	Cation:K	Cation:K	H(-1) K	0
E	null	iodoTMT	H(28) C(16) N(4) O(3)	0
E	null	Cation:Mg[II]	H(-2) Mg	0
E	null	Propargylamine	H(3) C(3) N O(-1)	0
E	GluGluGluGlu	GluGluGluGlu	H(28) C(20) N(4) O(12)	0
E	GluGlu	GluGlu	H(14) C(10) N(2) O(6)	0
E	null	phosphoRibosyl	H(9) C(5) O(7) P	0
E	Biotin-PEO-Amine	Biotin-PEO-Amine	H(28) C(16) N(4) O(3) S	0
E	null	iodoTMT6plex	H(28) C(12) 13C(4) N(3) 15N O(3)	0
E	null	Cation:Li	H(-1) Li	0
E	null	Hydroxamic_acid	H N	0
E	Hydroxyheme	Hydroxyheme	H(30) C(34) N(4) O(4) Fe	0
E	null	Glu->pyro-Glu+Methyl	C O(-1)	0
E	null	Ethanolamine	H(5) C(2) N	0
E	null	Cation:Ag	H(-1) Ag	0
F	Oxidation	Oxidation	O	0
F	IodoU-AMP	IodoU-AMP	H(11) C(9) N(2) O(9) P	0
F	null	Phe->CamCys	H(-1) C(-4) N O S	0
F	Dioxidation	Dioxidation	O(2)	0
F	null	AzidoF	H(-1) N(3)	0
F	Fluoro	Fluoro	H(-1) F	0
F	Deamidated	Deamidated	H(-1) N(-1) O	0
F	Bromo	Bromo	H(-1) Br	0
G	Myristoyl+Delta:H(-4)	Myristoyl+Delta:H(-4)	H(22) C(14) O	0
G	Carboxy->Thiocarboxy	Carboxy->Thiocarboxy	O(-1) S	0
G	null	Gly-loss+Amide	H(-2) C(-2) O(-2)	0
G	Myristoyl	Myristoyl	H(26) C(14) O	0
G	Myristoleyl	Myristoleyl	H(24) C(14) O	0
G	Oxidation	Oxidation	O	0
H	Crotonaldehyde	Crotonaldehyde	H(6) C(4) O	0
H	HNE+Delta:H(2)	HNE+Delta:H(2)	H(18) C(9) O(2)	0
H	null	HN3_mustard	H(13) C(6) N O(2)	0
H	null	methylsulfonylethyl	H(6) C(3) O(2) S	0
